,weekly_returns,cum_returns
"Jul 01, 2016",,1.0
"Jul 08, 2016",0.005393609901273169,1.0053936099012732
"Jul 15, 2016",-0.009706789926360157,0.9956344653366567
"Jul 22, 2016",0.021367048486034705,1.0169082352318721
"Jul 29, 2016",-0.010442405892216995,1.0062892666844427
"Aug 05, 2016",-0.11825362233470017,0.8872919157824782
"Aug 12, 2016",0.023729633715292263,0.9083470279425365
"Aug 19, 2016",-0.025919411567214747,0.8848032074794375
"Aug 26, 2016",0.011171953745725403,0.8946881879874672
"Sep 02, 2016",-0.0017642200810550292,0.893109761119937
"Sep 09, 2016",0.06248611046299137,0.9489167163088533
"Sep 16, 2016",-0.008069975721385864,0.9412589814466237
"Sep 23, 2016",0.005770364761360921,0.9466903891044778
"Sep 30, 2016",0.005208495802123165,0.9516212220220389
"Oct 07, 2016",0.00921034087256621,0.9603859778584298
"Oct 14, 2016",0.029381947972774804,0.9886039886936487
"Oct 21, 2016",0.0038713516359361578,0.9924312223625709
"Oct 28, 2016",0.053793911646153485,1.045817979853227
"Nov 04, 2016",0.031710362031472296,1.078981246613396
"Nov 11, 2016",0.00732225654130852,1.08688182410436
"Nov 18, 2016",0.036982262621898195,1.1270771731623555
"Nov 25, 2016",-0.0022409841617366233,1.1245514110682437
"Dec 02, 2016",0.0011822001354290677,1.1258808558987057
"Dec 09, 2016",0.02818955404621753,1.157618935135664
"Dec 16, 2016",0.013059120640949972,1.1727364204658488
"Dec 23, 2016",0.06331830421840816,1.2469921019049126
"Dec 30, 2016",0.146892672124536,1.430166103871917
"Jan 06, 2017",0.06904161718899583,1.5289070845321193
"Jan 13, 2017",-0.17374957085031026,1.2632601347246646
"Jan 20, 2017",0.08293336779723223,1.3680265521013661
"Jan 27, 2017",0.026037338663260464,1.4036463227387619
"Feb 03, 2017",0.07518877007919827,1.5091847633716786
"Feb 10, 2017",0.03997134034238993,1.5695089011879573
"Feb 17, 2017",-0.009720904719554497,1.5542518547030166
"Feb 24, 2017",0.10200877757579187,1.7127991864461787
"Mar 03, 2017",0.11547205053897021,1.9105796206665988
"Mar 10, 2017",-0.016258209311750663,1.879517017287036
"Mar 17, 2017",0.13919222169565668,2.1411311666380124
"Mar 24, 2017",-0.07528107012524822,1.9799445211349818
"Mar 31, 2017",0.040488851713469956,2.0601102012521135
"Apr 07, 2017",0.08221296239953273,2.229477963766547
"Apr 14, 2017",0.039998709940280916,2.3186542061574937
"Apr 21, 2017",0.027506609056457184,2.382432520943378
"Apr 28, 2017",0.0745683777579944,2.5600866491480145
"May 05, 2017",0.2500977415763054,3.2003585383395845
"May 12, 2017",0.1821771245423289,3.7833906543587807
"May 19, 2017",0.027731243006848212,3.8883087799846425
"May 26, 2017",0.39324176945799616,5.417354204824866
"Jun 02, 2017",0.13477129322186476,6.14745803685002
"Jun 09, 2017",0.20892003492271505,7.431785184594651
"Jun 16, 2017",0.1508825148329034,8.553111622944206
"Jun 23, 2017",-0.005414170269864467,8.50680362028043
"Jun 30, 2017",-0.09003704175930832,7.740876187483004
"Jul 07, 2017",-0.009675695820140637,7.6659778241115495
"Jul 14, 2017",-0.12779707613970995,6.686288272438238
"Jul 21, 2017",0.0028902378387484456,6.70561323580402
"Jul 28, 2017",0.10196050146458477,7.3893209239541555
"Aug 04, 2017",0.04512290972725834,7.722748584951479
"Aug 11, 2017",0.22830406571439732,9.485883485386012
"Aug 18, 2017",0.16108775423628843,11.013943152993942
"Aug 25, 2017",0.1233697441166163,12.372730501493765
"Sep 01, 2017",0.10864931751982182,13.717019226337744
"Sep 08, 2017",-0.060873655128116204,12.88201412856792
"Sep 15, 2017",-0.1172896522585232,11.371087171038807
"Sep 22, 2017",-0.022414971299079725,11.11620457846064
"Sep 29, 2017",0.07720017711116517,11.974377540721747
"Oct 06, 2017",0.027857072239886278,12.307948640901305
"Oct 13, 2017",0.07334985883695307,13.210734936283883
"Oct 20, 2017",0.1423603542577061,15.091419841817912
"Oct 27, 2017",-0.0019755224799613176,15.061606402665866
"Nov 03, 2017",0.16549651811766244,17.554249819565758
"Nov 10, 2017",0.051668166526806385,18.461245722496244
"Nov 17, 2017",0.15843621681633732,21.38617565248534
"Nov 24, 2017",0.11706495097206479,23.8897472567235
"Dec 01, 2017",0.21890121029392617,29.119241844836274
"Dec 08, 2017",0.318824765873689,38.40317730843553
"Dec 15, 2017",0.3036804455205079,50.065471302864296
"Dec 22, 2017",0.10614066590682183,55.37945376588919
"Dec 29, 2017",-0.08704815825949716,50.558774310151556
"Jan 05, 2018",0.07471750708020297,54.33639988763668
"Jan 12, 2018",0.06950062139842304,58.112813444380635
"Jan 19, 2018",-0.1997613022832228,46.50412215138918
"Jan 26, 2018",-0.029780750555761296,45.11919448978401
"Feb 02, 2018",-0.06108150190561978,42.363246325576235
"Feb 09, 2018",-0.19781405443298297,33.983200810970835
"Feb 16, 2018",0.15628706148398658,39.2943354055377
"Feb 23, 2018",0.04633400954498899,41.11499951728188
"Mar 02, 2018",0.004789853636690657,41.311934347242264
"Mar 09, 2018",-0.08833127776105808,37.66279839956941
"Mar 16, 2018",-0.16224749296194693,31.552103781308045
"Mar 23, 2018",0.009379125010050214,31.848034907003008
"Mar 30, 2018",-0.12603252142165605,27.834146765348503
"Apr 06, 2018",-0.13672825861422164,24.02843234810973
"Apr 13, 2018",0.05117641777108744,25.258121440340904
"Apr 20, 2018",0.2040011637135681,30.410807607389074
"Apr 27, 2018",0.1614823445597221,35.32161611978489
"May 04, 2018",0.05662551945776423,37.32172098065545
"May 11, 2018",0.025353835270746177,38.26796974641974
"May 18, 2018",-0.09211748969479047,34.74282043766336
"May 25, 2018",-0.11512988583446483,30.742883487107868
"Jun 01, 2018",-0.02958224368405837,29.833440016241628
"Jun 08, 2018",0.04379094912775953,31.13987467029893
"Jun 15, 2018",-0.15428599209454225,26.33542821309215
"Jun 22, 2018",0.023559135587426627,26.95586813711733
"Jun 29, 2018",-0.10980058339175468,23.996098089830635
